US,BATCH,LON,LAT,TIME,V,C
51401351378657,9470,122.1614917,30.9375417,2018/01/01 01:11:22,3.34,29.58
51401351378657,9470,122.1655684,30.9453017,2018/01/01 01:16:25,3.0,16.42
51401351378657,9470,122.1708767,30.965275,2018/01/01 01:29:29,2.8,5.41
51401351378657,9470,122.1717465,30.9760084,2018/01/01 01:37:04,2.55,358.98
51401351378657,9470,122.1684074,30.9903574,2018/01/01 01:48:13,2.37,345.48
51401351380109,1452,121.47004,31.0833467,2018/01/01 02:22:01,0.04,-1.0
51401351380109,1452,121.4675467,31.0844767,2018/01/01 02:49:03,0.51,287.15
51401351380109,1452,121.4634268,31.0949633,2018/01/01 02:55:33,3.32,327.66
51401351380109,1452,121.4642764,31.1205046,2018/01/01 03:10:34,3.16,21.46
51401351380109,1452,121.4620282,31.1333366,2018/01/01 03:18:32,3.24,337.95
51401351380109,1452,121.454885,31.1412181,2018/01/01 03:23:33,4.02,326.59
51401351380109,1452,121.4530334,31.1472728,2018/01/01 03:26:36,4.0,355.31
51401351380109,1452,121.4636199,31.1593984,2018/01/01 03:34:34,3.46,25.19
51401351380109,1452,121.4651902,31.1646579,2018/01/01 03:37:26,3.7,3.82
51401351380109,1452,121.4601,31.1776619,2018/01/01 03:44:38,3.55,350.11
51401351380109,1452,121.4617996,31.1840216,2018/01/01 03:48:04,3.45,35.24
51401351380109,1452,121.4707397,31.1895516,2018/01/01 03:53:33,2.81,64.27
51401351380109,1452,121.4844942,31.1931105,2018/01/01 04:00:33,3.63,74.06
51401351380109,1452,121.49601,31.2002127,2018/01/01 04:07:03,3.77,43.07
51401351380109,1452,121.5051341,31.2139919,2018/01/01 04:15:02,3.71,15.3
51401351380109,1452,121.5058405,31.2189268,2018/01/01 04:17:33,3.75,358.62
51401351380109,1452,121.5044296,31.2227428,2018/01/01 04:19:32,4.06,331.66
51401351380109,1452,121.4900718,31.2366779,2018/01/01 04:28:30,3.92,317.34
51401351380109,1452,121.4890229,31.2421994,2018/01/01 04:31:33,3.64,20.04
