[2018-06-05 09:27:44 traclus_consumer.read_queue DEBUG =======>debug]
[2018-06-05 09:27:44 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351376918', 'BATCH': '7303', 'LON': 121.2169, 'LAT': 31.6480667, 'TIME': '2018/01/01 00:21:56', 'V': 0.18, 'C': 283.15}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:44 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377041', 'BATCH': '7463', 'LON': 121.4852417, 'LAT': 31.0252317, 'TIME': '2018/01/01 00:30:42', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:44 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377041', 'BATCH': '7463', 'LON': 121.4852417, 'LAT': 31.0252317, 'TIME': '2018/01/01 00:45:42', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:44 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377041', 'BATCH': '7463', 'LON': 121.4852417, 'LAT': 31.0252317, 'TIME': '2018/01/01 00:48:42', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:44 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377041', 'BATCH': '7463', 'LON': 121.4852417, 'LAT': 31.0252317, 'TIME': '2018/01/01 01:03:42', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:44 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377041', 'BATCH': '7463', 'LON': 121.4852417, 'LAT': 31.0252317, 'TIME': '2018/01/01 01:12:41', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377041', 'BATCH': '7463', 'LON': 121.4850967, 'LAT': 31.0235417, 'TIME': '2018/01/01 01:24:43', 'V': 0.34, 'C': 184.33}, 'yaw': 0, 'cheat': 0, 'cluster': 13, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377041', 'BATCH': '7463', 'LON': 121.4865433, 'LAT': 31.023245, 'TIME': '2018/01/01 01:42:43', 'V': 0.19, 'C': 70.84}, 'yaw': 0, 'cheat': 0, 'cluster': 13, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377041', 'BATCH': '7463', 'LON': 121.4865433, 'LAT': 31.023245, 'TIME': '2018/01/01 01:45:43', 'V': 0.02, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.65608, 'LAT': 31.1987383, 'TIME': '2018/01/01 00:32:40', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560783, 'LAT': 31.198735, 'TIME': '2018/01/01 00:33:58', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560717, 'LAT': 31.19872, 'TIME': '2018/01/01 00:39:58', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560833, 'LAT': 31.1987267, 'TIME': '2018/01/01 01:00:58', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.656085, 'LAT': 31.19873, 'TIME': '2018/01/01 01:03:58', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560933, 'LAT': 31.198735, 'TIME': '2018/01/01 01:09:58', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.656095, 'LAT': 31.1987433, 'TIME': '2018/01/01 01:18:58', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560783, 'LAT': 31.1987517, 'TIME': '2018/01/01 01:42:58', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.656075, 'LAT': 31.1987417, 'TIME': '2018/01/01 01:50:41', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560717, 'LAT': 31.19874, 'TIME': '2018/01/01 01:54:58', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560567, 'LAT': 31.19873, 'TIME': '2018/01/01 02:24:59', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560667, 'LAT': 31.1987267, 'TIME': '2018/01/01 02:38:42', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560783, 'LAT': 31.198725, 'TIME': '2018/01/01 02:51:59', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560833, 'LAT': 31.1987267, 'TIME': '2018/01/01 02:54:59', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377005', 'BATCH': '7414', 'LON': 121.6560867, 'LAT': 31.1987467, 'TIME': '2018/01/01 03:06:59', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855183, 'LAT': 31.7225884, 'TIME': '2018/01/01 00:54:00', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855183, 'LAT': 31.7225884, 'TIME': '2018/01/01 00:55:58', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855183, 'LAT': 31.7225884, 'TIME': '2018/01/01 01:10:57', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855183, 'LAT': 31.7225884, 'TIME': '2018/01/01 01:19:57', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855183, 'LAT': 31.7225884, 'TIME': '2018/01/01 01:24:00', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855183, 'LAT': 31.7225884, 'TIME': '2018/01/01 01:25:56', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855183, 'LAT': 31.7225884, 'TIME': '2018/01/01 01:49:55', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855367, 'LAT': 31.7226067, 'TIME': '2018/01/01 02:07:54', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855367, 'LAT': 31.7226067, 'TIME': '2018/01/01 02:10:54', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855367, 'LAT': 31.7226067, 'TIME': '2018/01/01 02:16:53', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855367, 'LAT': 31.7226067, 'TIME': '2018/01/01 02:19:53', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855367, 'LAT': 31.7226067, 'TIME': '2018/01/01 02:25:53', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855367, 'LAT': 31.7226067, 'TIME': '2018/01/01 02:28:53', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377456', 'BATCH': '7985', 'LON': 121.6855367, 'LAT': 31.7226067, 'TIME': '2018/01/01 02:31:52', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:49 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.51449, 'LAT': 31.4032717, 'TIME': '2018/01/01 01:14:27', 'V': 0.02, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.51467, 'LAT': 31.4032183, 'TIME': '2018/01/01 01:28:38', 'V': 0.02, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.514705, 'LAT': 31.4031867, 'TIME': '2018/01/01 01:31:24', 'V': 0.03, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.514755, 'LAT': 31.4031667, 'TIME': '2018/01/01 01:34:23', 'V': 0.03, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.5149617, 'LAT': 31.40291, 'TIME': '2018/01/01 01:47:02', 'V': 0.06, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.5151283, 'LAT': 31.4030533, 'TIME': '2018/01/01 01:52:56', 'V': 0.08, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.51514, 'LAT': 31.4031017, 'TIME': '2018/01/01 02:21:15', 'V': 0.02, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.5151483, 'LAT': 31.4031067, 'TIME': '2018/01/01 02:34:59', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.515155, 'LAT': 31.4031433, 'TIME': '2018/01/01 02:42:16', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377797', 'BATCH': '8398', 'LON': 121.51517, 'LAT': 31.4030933, 'TIME': '2018/01/01 02:45:16', 'V': 0.04, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
